symbol,name
COMI,Commercial International Bank
SWDY,El Sewedy Electric
TMGH,Talaat Moustafa Group
ETEL,Telecom Egypt
EGAL,Egypt Aluminium
QNBE,Qatar National Bank Alahli
EAST,Eastern Company
MFPC,Misr Fertilizer Production
ABUK,Abou Kir Fertilizers
ALCN,Alexandria Container & Cargo Handling
HDBK,Housing & Development Bank
ORAS,Orascom Construction
EFIH,e-finance
ADIB,Abu Dhabi Islamic Bank Egypt
EMFD,Emaar Misr
FWRY,Fawry
ORHD,Orascom Development Egypt
PHDC,Palm Hills Developments
EFID,Edita Food Industries
HRHO,EFG Holding
JUFO,Juhayna Food Industries
SKPC,Sidi Kerir Petrochemicals
ISPH,Ibn Sina Pharma
AMOC,Alexandria Mineral Oils
GBCO,GB Corp
CIEB,Crédit Agricole Egypt
MASR,Madinet Masr
HELI,Heliopolis Housing
CCAP,Qalaa Holdings
BTFH,Beltone Holding
